Time,Channel,OrigBytes,CompressedBytes,SentBytes
2021-06-07 07:11:02.099275,1021,515307,97276,97276
2021-06-07 07:11:02.099288,10001,3364815,328155,328155
2021-06-07 07:11:02.099310,0,0,0,9254071
2021-06-07 07:14:02.177306,1044,2856,8092,8092
2021-06-07 07:14:02.177321,1043,2856,8092,8092
2021-06-07 07:14:02.177334,1042,2856,8092,8092
2021-06-07 07:14:02.177346,1014,3222084,522567,522567
2021-06-07 07:14:02.177360,1011,3317466,534904,534904
2021-06-07 07:14:02.177372,1022,593767,107747,107747
2021-06-07 07:14:02.177384,1061,52146,19547,19547
2021-06-07 07:14:02.177397,1012,3322767,536927,536927
2021-06-07 07:14:02.177410,1023,624585,113115,113115
2021-06-07 07:14:02.177422,5001,3961806,339285,339285
2021-06-07 07:14:02.177435,10,938716,147801,147801
2021-06-07 07:14:02.177449,1034,7447600,535630,535630
2021-06-07 07:14:02.177462,1033,7482128,544497,544497
2021-06-07 07:14:02.177474,1041,2856,8092,8092
2021-06-07 07:14:02.177486,3011,4641,9877,9877
2021-06-07 07:14:02.177499,3001,6426,10811,10811
2021-06-07 07:14:02.177511,2,3816,5213,5213
2021-06-07 07:14:02.177524,1051,4811103,1072876,1072876
2021-06-07 07:14:02.177537,1024,711665,125543,125543
2021-06-07 07:14:02.177550,4001,12980,38940,38940
2021-06-07 07:14:02.177562,1013,3253910,530018,530018
2021-06-07 07:14:02.177575,1,18910926,3504365,3504365
2021-06-07 07:14:02.177589,1032,7451945,539981,539981
2021-06-07 07:14:02.177602,1031,7482144,542079,542079
2021-06-07 07:14:02.177614,1021,571258,107836,107836
2021-06-07 07:14:02.177626,10001,3713340,362490,362490
2021-06-07 07:14:02.177648,0,0,0,10284417
2021-06-07 07:17:02.256259,1044,3144,8908,8908
2021-06-07 07:17:02.256273,1043,3144,8908,8908
2021-06-07 07:17:02.256286,1042,3144,8908,8908
2021-06-07 07:17:02.256298,1014,3537677,573890,573890
2021-06-07 07:17:02.256313,1011,3642401,587379,587379
2021-06-07 07:17:02.256326,1022,651929,118369,118369
2021-06-07 07:17:02.256338,1061,57297,21595,21595
2021-06-07 07:17:02.256351,1012,3648219,589496,589496
2021-06-07 07:17:02.256363,1023,685767,124302,124302
2021-06-07 07:17:02.256376,5001,4357968,371374,371374
2021-06-07 07:17:02.256391,10,1032473,161682,161682
2021-06-07 07:17:02.256404,1034,8179065,588549,588549
2021-06-07 07:17:02.256416,1033,8216981,598069,598069
2021-06-07 07:17:02.256429,1041,3144,8908,8908
2021-06-07 07:17:02.256441,3011,5109,10873,10873
2021-06-07 07:17:02.256454,3001,7074,11897,11897
2021-06-07 07:17:02.256466,2,4248,5802,5802
2021-06-07 07:17:02.256479,1051,5300467,1187250,1187250
2021-06-07 07:17:02.256492,1024,781361,137955,137955
2021-06-07 07:17:02.256504,4001,14300,42900,42900
2021-06-07 07:17:02.256517,1013,3572619,581988,581988
2021-06-07 07:17:02.256532,1,20801795,3841472,3841472
2021-06-07 07:17:02.256545,1032,8183819,592154,592154
2021-06-07 07:17:02.256557,1031,8216973,593945,593945
2021-06-07 07:17:02.256570,1021,627209,118357,118357
2021-06-07 07:17:02.256582,10001,4061865,396825,396825
2021-06-07 07:17:02.256603,0,0,0,11291755
2021-06-07 07:20:02.337726,1044,3432,9724,9724
2021-06-07 07:20:02.337740,1043,3432,9724,9724
2021-06-07 07:20:02.337753,1042,3432,9724,9724
2021-06-07 07:20:02.337766,1014,3853268,625027,625027
2021-06-07 07:20:02.337779,1011,3967334,639755,639755
2021-06-07 07:20:02.337793,1022,710093,129125,129125
2021-06-07 07:20:02.337807,1061,62444,23420,23420
2021-06-07 07:20:02.337819,1012,3973669,641992,641992
2021-06-07 07:20:02.337831,1023,746951,135559,135559
2021-06-07 07:20:02.337844,5001,4754181,404372,404372
2021-06-07 07:20:02.337856,10,1126246,176459,176459
2021-06-07 07:20:02.337868,1034,8910514,640630,640630
2021-06-07 07:20:02.337881,1033,8951810,650312,650312
2021-06-07 07:20:02.337893,1041,3432,9724,9724
2021-06-07 07:20:02.337905,3011,5577,11869,11869
2021-06-07 07:20:02.337917,3001,7722,12987,12987
2021-06-07 07:20:02.337931,2,4608,6295,6295
2021-06-07 07:20:02.337944,1051,5789737,1296820,1296820
2021-06-07 07:20:02.337956,1024,851057,150354,150354
2021-06-07 07:20:02.337969,4001,15620,46860,46860
